#data format: time(s), sliding length(m), velocity(m/s), acceleration(m/s2)
0	0	0	0
0.5	0.011237882	0.022475765	0.044951529
1	0.037548337	0.052620908	0.060290287
1.5	0.092832692	0.110568712	0.115895607
2	0.162952661	0.140239937	0.059342451
2.5	0.276280901	0.22665648	0.172833086
3	0.409336867	0.266111931	0.078910902
3.5	0.498437269	0.178200804	-0.175822255
4	0.589043488	0.181212439	0.00602327
4.5	0.660044187	0.142001398	-0.078422083
5	0.701067438	0.082046503	-0.119909789
5.5	0.701652673	0.00117047	-0.161752066
6	0.702322673	0.00134	0.00033906
