#data format:	time, trigger pressure,	WG1,	WG2,	WG3,	WG4,	WG5,	WG6,	PP1,	PP2,	PP3,	PP4,	PP5,	PP6,	PP7,	PP8,	PP9
-1	6.75	0.0425	-0.0148	-0.1419	0.0423	0.0264	0.0628	0.006	0.002	0.005	0.009	0.005	0.007	0.014	0.009	0.01
-0.999	6.5	0.0267	-0.0148	-0.1419	0.0226	0.0264	0.0588	0.006	0.002	0.005	0.009	0.004	0.007	0.014	0.009	0.009
-0.998	6.75	0.0267	-0.0108	-0.1419	0.0068	0.0224	0.0667	0.007	0.004	0.006	0.008	0.004	0.007	0.014	0.008	0.01
-0.997	7	0.0425	-0.0148	-0.1379	0.0068	0.0264	0.0707	0.007	0.003	0.005	0.008	0.004	0.007	0.013	0.008	0.01
-0.996	7	0.0465	-0.0187	-0.1379	0.0147	0.0264	0.0747	0.007	0.004	0.005	0.009	0.004	0.006	0.013	0.008	0.01
-0.995	6.75	0.0386	-0.0108	-0.1299	0.0345	0.0344	0.0747	0.006	0.003	0.004	0.008	0.004	0.005	0.013	0.008	0.01
-0.994	6.75	0.0346	-0.0069	-0.1339	0.0463	0.0304	0.0747	0.006	0.003	0.005	0.008	0.005	0.005	0.014	0.008	0.011
-0.993	7	0.0267	-0.0029	-0.1379	0.0542	0.0304	0.0747	0.006	0.003	0.005	0.008	0.004	0.005	0.014	0.008	0.01
-0.992	7	0.0346	-0.0029	-0.1419	0.0542	0.0304	0.0707	0.007	0.003	0.004	0.008	0.005	0.006	0.014	0.009	0.01
-0.991	7	0.0425	-0.0069	-0.1459	0.0463	0.0304	0.0747	0.006	0.003	0.004	0.008	0.005	0.006	0.013	0.009	0.009
-0.99	6.75	0.0465	-0.0108	-0.1499	0.0463	0.0224	0.0707	0.006	0.003	0.005	0.008	0.004	0.006	0.013	0.009	0.01
-0.989	6.75	0.0505	-0.0187	-0.1538	0.0463	0.0184	0.0667	0.006	0.003	0.005	0.008	0.004	0.006	0.014	0.008	0.01
-0.988	7	0.0425	-0.0187	-0.1578	0.0502	0.0184	0.0588	0.006	0.003	0.005	0.009	0.005	0.006	0.014	0.008	0.01
-0.987	7	0.0386	-0.0187	-0.1618	0.0502	0.0224	0.0628	0.006	0.003	0.005	0.008	0.005	0.007	0.014	0.009	0.01
-0.986	6.75	0.0465	-0.0187	-0.1578	0.0502	0.0264	0.0628	0.007	0.002	0.005	0.009	0.005	0.007	0.014	0.008	0.008
-0.985	6.75	0.0505	-0.0148	-0.1379	0.0463	0.0304	0.0667	0.006	0.003	0.005	0.009	0.004	0.008	0.014	0.008	0.009
-0.984	6.75	0.0544	-0.0069	-0.1299	0.0384	0.0304	0.0707	0.006	0.004	0.005	0.009	0.005	0.007	0.013	0.008	0.009
-0.983	7	0.0465	-0.0069	-0.1259	0.0305	0.0344	0.0826	0.005	0.004	0.005	0.009	0.005	0.007	0.013	0.008	0.01
-0.982	7	0.0346	-0.0069	-0.1299	0.0187	0.0344	0.0786	0.006	0.004	0.005	0.01	0.006	0.007	0.014	0.008	0.01
-0.981	6.75	0.0306	-0.0069	-0.1339	0.0108	0.0304	0.0707	0.006	0.004	0.004	0.01	0.005	0.007	0.014	0.008	0.009
-0.98	6.75	0.0346	-0.0148	-0.1419	0.0068	0.0224	0.0628	0.006	0.004	0.004	0.009	0.005	0.008	0.014	0.009	0.009
-0.979	6.75	0.0267	-0.0148	-0.1419	0.0068	0.0264	0.0628	0.005	0.002	0.005	0.009	0.005	0.008	0.014	0.009	0.009
-0.978	7	0.0306	-0.0187	-0.1459	0.0108	0.0264	0.0667	0.005	0.003	0.005	0.009	0.005	0.008	0.014	0.009	0.009
-0.977	6.75	0.0306	-0.0187	-0.1459	0.0147	0.0264	0.0747	0.006	0.003	0.005	0.009	0.004	0.007	0.013	0.009	0.01
-0.976	6.5	0.0386	-0.0187	-0.1419	0.0266	0.0304	0.0667	0.006	0.003	0.005	0.009	0.005	0.007	0.013	0.01	0.011
-0.975	6.75	0.0425	-0.0108	-0.1379	0.0384	0.0344	0.0628	0.006	0.003	0.004	0.009	0.005	0.007	0.014	0.009	0.011
-0.974	7	0.0425	-0.0069	-0.1379	0.0463	0.0344	0.0628	0.006	0.003	0.005	0.009	0.005	0.007	0.014	0.009	0.011
-0.973	7	0.0465	-0.0069	-0.1299	0.0542	0.0344	0.0707	0.007	0.004	0.005	0.009	0.006	0.008	0.014	0.008	0.011
-0.972	6.75	0.0465	-0.0148	-0.1299	0.0463	0.0424	0.0747	0.007	0.004	0.006	0.01	0.005	0.008	0.015	0.009	0.011
-0.971	6.5	0.0505	-0.0148	-0.1339	0.0345	0.0344	0.0707	0.007	0.004	0.005	0.009	0.005	0.008	0.014	0.01	0.01
-0.97	7	0.0544	-0.0227	-0.1379	0.0266	0.0304	0.0667	0.007	0.003	0.006	0.009	0.005	0.008	0.014	0.009	0.011
-0.969	7	0.0505	-0.0267	-0.1379	0.0266	0.0304	0.0628	0.007	0.004	0.005	0.008	0.005	0.007	0.014	0.008	0.01
-0.968	7	0.0425	-0.0267	-0.1419	0.0384	0.0304	0.0667	0.007	0.004	0.005	0.009	0.005	0.007	0.014	0.008	0.01
-0.967	6.75	0.0346	-0.0187	-0.1499	0.0542	0.0344	0.0707	0.006	0.004	0.005	0.009	0.005	0.007	0.014	0.008	0.01
-0.966	6.75	0.0346	-0.0187	-0.1419	0.0581	0.0344	0.0747	0.006	0.004	0.005	0.009	0.005	0.007	0.014	0.008	0.009
-0.965	7	0.0306	-0.0148	-0.1339	0.0542	0.0384	0.0747	0.005	0.004	0.005	0.009	0.005	0.008	0.014	0.008	0.01
-0.964	7	0.0386	-0.0108	-0.1299	0.0502	0.0384	0.0707	0.005	0.004	0.005	0.01	0.005	0.007	0.014	0.008	0.01
-0.963	6.75	0.0386	-0.0108	-0.1259	0.0463	0.0384	0.0707	0.005	0.004	0.005	0.009	0.005	0.008	0.013	0.009	0.01
-0.962	6.75	0.0386	-0.0108	-0.1259	0.0345	0.0344	0.0707	0.006	0.005	0.005	0.009	0.005	0.008	0.013	0.009	0.01
-0.961	6.75	0.0386	-0.0108	-0.1299	0.0305	0.0304	0.0667	0.006	0.004	0.004	0.009	0.005	0.008	0.013	0.009	0.01
-0.96	7	0.0346	-0.0187	-0.1339	0.0187	0.0264	0.0628	0.007	0.004	0.005	0.009	0.005	0.007	0.013	0.008	0.01
-0.959	7	0.0267	-0.0227	-0.1339	0.0108	0.0264	0.0588	0.007	0.004	0.005	0.009	0.005	0.007	0.013	0.009	0.01
-0.958	6.75	0.0346	-0.0267	-0.1299	0.0068	0.0264	0.0667	0.007	0.004	0.005	0.009	0.004	0.007	0.013	0.009	0.01
-0.957	6.75	0.0425	-0.0227	-0.1299	0.0068	0.0264	0.0667	0.007	0.004	0.006	0.009	0.005	0.007	0.014	0.009	0.01
-0.956	6.75	0.0386	-0.0267	-0.1259	0.0108	0.0304	0.0707	0.007	0.004	0.006	0.009	0.004	0.007	0.014	0.009	0.011
-0.955	7	0.0346	-0.0227	-0.1179	0.0108	0.0304	0.0747	0.007	0.004	0.005	0.009	0.004	0.007	0.014	0.009	0.01
-0.954	7	0.0267	-0.0148	-0.1179	0.0305	0.0344	0.0786	0.006	0.004	0.005	0.01	0.005	0.007	0.014	0.008	0.011
-0.953	6.75	0.0267	-0.0108	-0.1139	0.0384	0.0344	0.0826	0.006	0.004	0.004	0.01	0.005	0.007	0.014	0.008	0.01
-0.952	6.75	0.0425	-0.0148	-0.1219	0.0463	0.0304	0.0786	0.007	0.005	0.004	0.01	0.004	0.007	0.014	0.008	0.01
-0.951	7	0.0505	-0.0148	-0.1299	0.0502	0.0304	0.0786	0.006	0.004	0.005	0.01	0.004	0.007	0.014	0.008	0.01
-0.95	7	0.0465	-0.0187	-0.1379	0.0423	0.0304	0.0707	0.007	0.003	0.004	0.01	0.005	0.007	0.014	0.008	0.01
-0.949	6.75	0.0386	-0.0227	-0.1379	0.0345	0.0264	0.0707	0.006	0.003	0.005	0.009	0.005	0.007	0.014	0.008	0.009
-0.948	6.75	0.0306	-0.0227	-0.1419	0.0345	0.0264	0.0667	0.006	0.004	0.005	0.009	0.005	0.007	0.014	0.008	0.01
-0.947	6.75	0.0346	-0.0187	-0.1419	0.0384	0.0264	0.0628	0.006	0.004	0.005	0.008	0.005	0.007	0.014	0.008	0.009
-0.946	7	0.0465	-0.0187	-0.1339	0.0345	0.0304	0.0747	0.006	0.005	0.005	0.008	0.005	0.007	0.014	0.008	0.009
-0.945	7	0.0505	-0.0187	-0.1339	0.0423	0.0344	0.0747	0.006	0.004	0.005	0.008	0.005	0.007	0.013	0.008	0.008
-0.944	6.75	0.0544	-0.0108	-0.1259	0.0502	0.0304	0.0826	0.006	0.004	0.005	0.009	0.004	0.007	0.013	0.008	0.009
-0.943	6.75	0.0544	-0.0108	-0.1259	0.0542	0.0344	0.0866	0.006	0.002	0.005	0.009	0.004	0.006	0.013	0.009	0.009
-0.942	7	0.0584	-0.0069	-0.1299	0.0423	0.0384	0.0826	0.006	0.003	0.004	0.009	0.004	0.006	0.013	0.009	0.009
-0.941	7	0.0544	-0.0148	-0.1339	0.0305	0.0344	0.0786	0.006	0.003	0.004	0.009	0.005	0.007	0.013	0.008	0.01
-0.94	6.75	0.0505	-0.0187	-0.1419	0.0187	0.0304	0.0747	0.006	0.003	0.004	0.008	0.005	0.007	0.014	0.008	0.01
-0.939	6.75	0.0505	-0.0187	-0.1459	0.0187	0.0304	0.0667	0.006	0.003	0.004	0.008	0.005	0.007	0.013	0.008	0.01
-0.938	6.75	0.0425	-0.0267	-0.1499	0.0108	0.0264	0.0628	0.007	0.004	0.004	0.008	0.005	0.007	0.014	0.008	0.01
-0.937	6.75	0.0386	-0.0267	-0.1538	0.0068	0.0264	0.0667	0.007	0.004	0.005	0.009	0.005	0.007	0.014	0.008	0.01
-0.936	6.75	0.0346	-0.0227	-0.1459	0.0068	0.0224	0.0707	0.007	0.004	0.005	0.01	0.004	0.007	0.014	0.008	0.01
-0.935	6.75	0.0346	-0.0187	-0.1499	0.0147	0.0264	0.0707	0.007	0.004	0.004	0.01	0.004	0.007	0.014	0.008	0.01
-0.934	6.75	0.0346	-0.0187	-0.1419	0.0345	0.0344	0.0747	0.007	0.004	0.005	0.01	0.004	0.006	0.014	0.008	0.01
-0.933	6.75	0.0346	-0.0108	-0.1299	0.0463	0.0384	0.0826	0.007	0.003	0.005	0.009	0.005	0.007	0.014	0.008	0.01
-0.932	7	0.0386	-0.0069	-0.1219	0.0542	0.0384	0.0866	0.007	0.004	0.006	0.009	0.005	0.007	0.014	0.008	0.01
-0.931	7	0.0306	-0.0148	-0.1179	0.0542	0.0384	0.0826	0.007	0.004	0.005	0.009	0.005	0.007	0.014	0.008	0.01
-0.93	6.75	0.0227	-0.0187	-0.1259	0.0463	0.0264	0.0747	0.007	0.004	0.004	0.009	0.004	0.007	0.013	0.008	0.01
-0.929	6.75	0.0227	-0.0267	-0.1299	0.0463	0.0264	0.0667	0.007	0.003	0.004	0.009	0.004	0.007	0.014	0.008	0.01
-0.928	6.75	0.0267	-0.0267	-0.1219	0.0502	0.0304	0.0628	0.007	0.004	0.005	0.009	0.004	0.007	0.013	0.008	0.011
-0.927	7	0.0346	-0.0227	-0.1179	0.0581	0.0304	0.0667	0.006	0.004	0.005	0.008	0.005	0.008	0.013	0.008	0.011
-0.926	6.75	0.0386	-0.0187	-0.1179	0.0621	0.0344	0.0628	0.006	0.004	0.005	0.009	0.005	0.007	0.013	0.008	0.011
-0.925	6.75	0.0425	-0.0187	-0.1179	0.066	0.0344	0.0667	0.006	0.004	0.005	0.008	0.005	0.008	0.013	0.009	0.01
-0.924	6.75	0.0505	-0.0069	-0.1139	0.0739	0.0344	0.0747	0.006	0.004	0.005	0.009	0.005	0.008	0.014	0.009	0.01
-0.923	6.75	0.0544	-0.0029	-0.1139	0.0739	0.0344	0.0786	0.006	0.003	0.005	0.009	0.005	0.008	0.014	0.01	0.01
-0.922	7	0.0505	0.005	-0.1179	0.07	0.0344	0.0826	0.007	0.003	0.005	0.01	0.005	0.007	0.014	0.009	0.01
-0.921	6.75	0.0386	-0.0029	-0.1259	0.0581	0.0264	0.0747	0.006	0.002	0.004	0.009	0.005	0.007	0.014	0.01	0.01
-0.92	6.5	0.0306	-0.0069	-0.1339	0.0463	0.0224	0.0707	0.007	0.004	0.005	0.008	0.005	0.007	0.014	0.009	0.01
-0.919	6.75	0.0227	-0.0187	-0.1339	0.0502	0.0264	0.0667	0.007	0.002	0.004	0.008	0.005	0.008	0.014	0.009	0.011
-0.918	7	0.0267	-0.0187	-0.1299	0.0581	0.0304	0.0667	0.008	0.003	0.005	0.008	0.005	0.008	0.013	0.009	0.011
-0.917	6.75	0.0306	-0.0187	-0.1299	0.0581	0.0304	0.0667	0.007	0.003	0.005	0.008	0.004	0.008	0.014	0.009	0.011
-0.916	6.5	0.0306	-0.0227	-0.1259	0.0581	0.0344	0.0667	0.007	0.003	0.005	0.009	0.004	0.007	0.013	0.008	0.011
-0.915	6.75	0.0306	-0.0187	-0.1219	0.0621	0.0304	0.0707	0.006	0.003	0.005	0.008	0.004	0.007	0.014	0.008	0.01
-0.914	7	0.0425	-0.0187	-0.1219	0.0621	0.0384	0.0747	0.005	0.002	0.004	0.009	0.004	0.006	0.014	0.008	0.01
-0.913	6.75	0.0465	-0.0148	-0.1219	0.0581	0.0384	0.0707	0.005	0.002	0.005	0.008	0.005	0.006	0.015	0.008	0.01
-0.912	6.75	0.0465	-0.0108	-0.1219	0.0542	0.0463	0.0667	0.006	0.003	0.005	0.009	0.005	0.006	0.015	0.008	0.01
-0.911	6.5	0.0346	-0.0108	-0.1299	0.0502	0.0384	0.0667	0.006	0.004	0.005	0.009	0.005	0.006	0.015	0.009	0.01
-0.91	6.75	0.0306	-0.0187	-0.1339	0.0463	0.0344	0.0628	0.007	0.004	0.005	0.009	0.006	0.007	0.014	0.008	0.01
-0.909	7	0.0306	-0.0267	-0.1419	0.0384	0.0304	0.0628	0.005	0.004	0.005	0.01	0.006	0.007	0.013	0.009	0.009
-0.908	6.75	0.0346	-0.0346	-0.1459	0.0345	0.0224	0.0628	0.006	0.004	0.005	0.01	0.005	0.007	0.013	0.008	0.01
-0.907	6.75	0.0386	-0.0385	-0.1459	0.0384	0.0264	0.0667	0.006	0.004	0.005	0.009	0.005	0.007	0.014	0.008	0.011
-0.906	6.75	0.0425	-0.0306	-0.1459	0.0423	0.0264	0.0747	0.007	0.003	0.005	0.009	0.005	0.007	0.013	0.008	0.011
-0.905	6.75	0.0465	-0.0267	-0.1379	0.0502	0.0304	0.0826	0.007	0.004	0.004	0.008	0.005	0.007	0.014	0.009	0.011
-0.904	7	0.0465	-0.0227	-0.1339	0.0423	0.0304	0.0826	0.007	0.004	0.005	0.008	0.005	0.007	0.013	0.01	0.01
-0.903	6.75	0.0425	-0.0227	-0.1299	0.0345	0.0384	0.0866	0.007	0.004	0.005	0.008	0.005	0.008	0.013	0.01	0.01
-0.902	6.5	0.0425	-0.0187	-0.1299	0.0305	0.0384	0.0786	0.007	0.005	0.005	0.008	0.005	0.007	0.013	0.009	0.01
-0.901	6.75	0.0465	-0.0267	-0.1339	0.0305	0.0304	0.0707	0.006	0.003	0.005	0.008	0.004	0.008	0.014	0.009	0.01
-0.9	6.75	0.0465	-0.0306	-0.1419	0.0305	0.0304	0.0707	0.006	0.004	0.005	0.008	0.004	0.007	0.014	0.009	0.01
-0.899	7	0.0465	-0.0306	-0.1459	0.0384	0.0264	0.0747	0.006	0.003	0.005	0.008	0.004	0.007	0.014	0.009	0.009
-0.898	6.75	0.0425	-0.0346	-0.1339	0.0423	0.0264	0.0786	0.006	0.004	0.005	0.009	0.004	0.007	0.014	0.008	0.009
-0.897	6.75	0.0425	-0.0306	-0.1299	0.0502	0.0304	0.0747	0.006	0.003	0.005	0.009	0.004	0.007	0.014	0.008	0.009
-0.896	6.75	0.0505	-0.0267	-0.1299	0.0542	0.0344	0.0747	0.007	0.003	0.004	0.008	0.004	0.007	0.013	0.008	0.009
-0.895	7	0.0505	-0.0187	-0.1259	0.0621	0.0344	0.0707	0.007	0.003	0.003	0.008	0.004	0.007	0.013	0.008	0.01
-0.894	7	0.0465	-0.0148	-0.1299	0.0621	0.0424	0.0747	0.006	0.003	0.005	0.008	0.004	0.006	0.013	0.008	0.01
-0.893	6.75	0.0505	-0.0069	-0.1259	0.0542	0.0384	0.0707	0.006	0.003	0.004	0.008	0.004	0.006	0.013	0.008	0.01
-0.892	6.5	0.0544	-0.0029	-0.1219	0.0423	0.0424	0.0707	0.006	0.003	0.005	0.008	0.004	0.006	0.013	0.008	0.01
-0.891	6.75	0.0465	-0.0108	-0.1299	0.0266	0.0304	0.0707	0.006	0.004	0.005	0.008	0.004	0.006	0.013	0.008	0.01
-0.89	7	0.0425	-0.0227	-0.1379	0.0147	0.0304	0.0707	0.007	0.004	0.005	0.009	0.005	0.006	0.013	0.008	0.01
-0.889	7	0.0346	-0.0267	-0.1379	0.0029	0.0264	0.0667	0.007	0.005	0.004	0.008	0.005	0.007	0.013	0.008	0.011
-0.888	6.75	0.0267	-0.0306	-0.1379	-0.009	0.0264	0.0667	0.007	0.004	0.004	0.008	0.005	0.007	0.014	0.008	0.01
-0.887	6.75	0.0306	-0.0306	-0.1379	-0.009	0.0264	0.0747	0.006	0.003	0.004	0.008	0.004	0.007	0.013	0.009	0.01
-0.886	7	0.0346	-0.0306	-0.1379	-0.009	0.0304	0.0786	0.006	0.003	0.004	0.008	0.004	0.008	0.013	0.009	0.01
-0.885	7	0.0346	-0.0187	-0.1339	-0.0129	0.0304	0.0826	0.006	0.003	0.004	0.008	0.004	0.007	0.013	0.009	0.01
-0.884	6.75	0.0346	-0.0148	-0.1339	-0.009	0.0344	0.0866	0.006	0.004	0.005	0.008	0.004	0.008	0.013	0.008	0.009
-0.883	6.5	0.0386	-0.0108	-0.1219	-0.0011	0.0344	0.0866	0.007	0.004	0.005	0.008	0.005	0.007	0.013	0.009	0.009
-0.882	6.75	0.0425	-0.0108	-0.1139	0.0068	0.0344	0.0866	0.007	0.003	0.004	0.008	0.005	0.007	0.013	0.009	0.01
-0.881	7	0.0544	-0.0108	-0.1219	0.0147	0.0264	0.0786	0.006	0.002	0.004	0.008	0.005	0.007	0.014	0.009	0.01
-0.88	6.75	0.0544	-0.0187	-0.1299	0.0029	0.0264	0.0747	0.006	0.004	0.005	0.009	0.005	0.007	0.014	0.009	0.01
-0.879	6.75	0.0544	-0.0227	-0.1379	-0.0011	0.0264	0.0707	0.005	0.003	0.005	0.009	0.006	0.006	0.014	0.009	0.009
-0.878	6.75	0.0465	-0.0187	-0.1419	0.0029	0.0304	0.0628	0.005	0.003	0.004	0.009	0.005	0.007	0.013	0.008	0.009
-0.877	6.75	0.0425	-0.0187	-0.1459	0.0187	0.0304	0.0628	0.006	0.004	0.004	0.009	0.005	0.006	0.013	0.009	0.01
-0.876	6.75	0.0505	-0.0187	-0.1419	0.0266	0.0304	0.0628	0.006	0.003	0.004	0.009	0.004	0.006	0.013	0.008	0.01
-0.875	6.75	0.0505	-0.0187	-0.1379	0.0423	0.0344	0.0747	0.006	0.003	0.004	0.008	0.005	0.006	0.014	0.008	0.01
-0.874	6.75	0.0584	-0.0148	-0.1339	0.0502	0.0304	0.0826	0.007	0.004	0.005	0.009	0.005	0.006	0.013	0.008	0.01
-0.873	6.75	0.0544	-0.0108	-0.1299	0.0542	0.0344	0.0866	0.006	0.004	0.005	0.008	0.004	0.005	0.013	0.008	0.01
-0.872	6.75	0.0584	-0.0108	-0.1339	0.0581	0.0344	0.0866	0.007	0.004	0.004	0.008	0.005	0.005	0.013	0.008	0.009
-0.871	7	0.0505	-0.0108	-0.1299	0.0542	0.0264	0.0786	0.007	0.003	0.005	0.008	0.005	0.006	0.014	0.008	0.01
-0.87	6.75	0.0425	-0.0148	-0.1339	0.0502	0.0264	0.0747	0.007	0.004	0.005	0.009	0.004	0.006	0.014	0.008	0.01
-0.869	6.75	0.0386	-0.0227	-0.1379	0.0463	0.0224	0.0707	0.007	0.004	0.004	0.009	0.005	0.007	0.014	0.008	0.01
-0.868	6.75	0.0306	-0.0187	-0.1419	0.0463	0.0264	0.0707	0.007	0.004	0.005	0.01	0.004	0.007	0.014	0.008	0.01
-0.867	7	0.0306	-0.0267	-0.1459	0.0502	0.0224	0.0747	0.006	0.003	0.005	0.01	0.005	0.008	0.013	0.008	0.009
-0.866	7	0.0346	-0.0267	-0.1459	0.0542	0.0264	0.0786	0.007	0.004	0.005	0.01	0.005	0.008	0.014	0.008	0.009
-0.865	6.75	0.0425	-0.0227	-0.1379	0.0542	0.0264	0.0826	0.006	0.004	0.005	0.009	0.005	0.007	0.014	0.008	0.009
-0.864	6.5	0.0505	-0.0187	-0.1339	0.0581	0.0344	0.0826	0.007	0.004	0.005	0.01	0.005	0.007	0.013	0.008	0.008
-0.863	6.75	0.0465	-0.0148	-0.1299	0.0542	0.0344	0.0905	0.007	0.004	0.005	0.009	0.005	0.007	0.013	0.008	0.008
-0.862	7	0.0505	-0.0148	-0.1259	0.0502	0.0424	0.0905	0.007	0.004	0.006	0.009	0.005	0.007	0.013	0.007	0.008
-0.861	6.75	0.0505	-0.0148	-0.1339	0.0423	0.0384	0.0786	0.006	0.003	0.005	0.009	0.005	0.007	0.013	0.008	0.009
-0.86	6.5	0.0386	-0.0227	-0.1299	0.0266	0.0344	0.0707	0.007	0.003	0.005	0.009	0.004	0.006	0.014	0.008	0.008
-0.859	6.75	0.0306	-0.0306	-0.1339	0.0187	0.0304	0.0667	0.007	0.003	0.005	0.008	0.004	0.007	0.014	0.008	0.009
-0.858	7	0.0267	-0.0346	-0.1299	0.0108	0.0264	0.0628	0.007	0.003	0.005	0.008	0.004	0.007	0.014	0.008	0.008
-0.857	7	0.0267	-0.0346	-0.1259	0.0147	0.0224	0.0628	0.008	0.002	0.005	0.008	0.005	0.007	0.013	0.008	0.01
-0.856	6.75	0.0386	-0.0267	-0.1219	0.0266	0.0304	0.0628	0.008	0.003	0.005	0.008	0.005	0.006	0.014	0.008	0.01
-0.855	6.5	0.0386	-0.0187	-0.1219	0.0345	0.0344	0.0628	0.007	0.003	0.005	0.008	0.004	0.007	0.014	0.008	0.01
-0.854	6.75	0.0306	-0.0108	-0.1219	0.0305	0.0384	0.0628	0.007	0.003	0.005	0.009	0.005	0.007	0.014	0.008	0.01
-0.853	7	0.0306	-0.0069	-0.1259	0.0305	0.0424	0.0707	0.006	0.003	0.005	0.008	0.004	0.008	0.014	0.009	0.01
-0.852	7	0.0306	-0.0069	-0.1299	0.0305	0.0424	0.0707	0.007	0.004	0.005	0.01	0.005	0.008	0.014	0.009	0.01
-0.851	6.75	0.0425	-0.0069	-0.1339	0.0226	0.0344	0.0667	0.007	0.003	0.005	0.01	0.005	0.006	0.014	0.008	0.01
-0.85	6.75	0.0505	-0.0148	-0.1379	0.0147	0.0344	0.0628	0.007	0.003	0.005	0.01	0.005	0.006	0.014	0.009	0.01
-0.849	7	0.0425	-0.0227	-0.1339	0.0108	0.0304	0.0667	0.006	0.002	0.005	0.009	0.006	0.006	0.014	0.009	0.01
-0.848	7	0.0425	-0.0306	-0.1379	0.0187	0.0304	0.0667	0.007	0.003	0.006	0.01	0.006	0.007	0.014	0.009	0.01
-0.847	6.75	0.0346	-0.0267	-0.1419	0.0305	0.0264	0.0707	0.007	0.003	0.005	0.009	0.005	0.007	0.014	0.009	0.01
-0.846	6.75	0.0267	-0.0306	-0.1379	0.0463	0.0304	0.0707	0.007	0.003	0.004	0.009	0.005	0.007	0.013	0.009	0.01
-0.845	7	0.0346	-0.0306	-0.1339	0.0621	0.0304	0.0747	0.007	0.004	0.005	0.01	0.005	0.007	0.013	0.008	0.009
-0.844	7	0.0306	-0.0227	-0.1259	0.0621	0.0344	0.0786	0.007	0.004	0.005	0.01	0.005	0.008	0.013	0.009	0.009
-0.843	7	0.0346	-0.0187	-0.1299	0.0581	0.0384	0.0826	0.007	0.004	0.005	0.009	0.005	0.008	0.014	0.009	0.01
-0.842	6.75	0.0346	-0.0148	-0.1219	0.0384	0.0424	0.0866	0.007	0.004	0.004	0.009	0.005	0.007	0.014	0.008	0.01
-0.841	6.75	0.0346	-0.0187	-0.1259	0.0187	0.0384	0.0826	0.006	0.003	0.004	0.008	0.005	0.007	0.014	0.008	0.01
-0.84	6.75	0.0425	-0.0267	-0.1259	0.0029	0.0344	0.0786	0.007	0.003	0.004	0.008	0.005	0.007	0.014	0.008	0.01
-0.839	7	0.0425	-0.0346	-0.1339	0.0068	0.0304	0.0786	0.006	0.004	0.004	0.008	0.005	0.007	0.014	0.008	0.01
-0.838	6.75	0.0465	-0.0306	-0.1339	0.0187	0.0304	0.0747	0.007	0.004	0.005	0.008	0.005	0.007	0.013	0.009	0.011
-0.837	6.75	0.0425	-0.0227	-0.1299	0.0147	0.0304	0.0667	0.006	0.003	0.005	0.008	0.005	0.007	0.013	0.008	0.011
-0.836	6.75	0.0425	-0.0267	-0.1259	0.0147	0.0264	0.0588	0.006	0.002	0.005	0.009	0.005	0.007	0.014	0.008	0.01
-0.835	6.75	0.0465	-0.0306	-0.1179	0.0147	0.0264	0.0707	0.006	0.002	0.005	0.009	0.005	0.007	0.013	0.008	0.01
-0.834	7	0.0465	-0.0267	-0.1179	0.0266	0.0304	0.0747	0.006	0.003	0.005	0.009	0.005	0.006	0.014	0.008	0.01
-0.833	7	0.0544	-0.0187	-0.1179	0.0266	0.0384	0.0786	0.006	0.003	0.005	0.01	0.005	0.006	0.013	0.008	0.01
-0.832	6.5	0.0544	-0.0187	-0.1139	0.0305	0.0384	0.0786	0.006	0.004	0.005	0.01	0.005	0.006	0.014	0.008	0.011
-0.831	6.75	0.0465	-0.0187	-0.1219	0.0384	0.0384	0.0747	0.007	0.004	0.005	0.01	0.005	0.006	0.013	0.008	0.011
-0.83	7	0.0386	-0.0187	-0.1299	0.0345	0.0344	0.0667	0.007	0.003	0.004	0.01	0.004	0.006	0.013	0.009	0.01
-0.829	7	0.0227	-0.0227	-0.1299	0.0345	0.0304	0.0628	0.007	0.002	0.004	0.009	0.004	0.007	0.013	0.008	0.01
-0.828	6.75	0.0187	-0.0267	-0.1339	0.0345	0.0304	0.0588	0.006	0.004	0.005	0.009	0.004	0.007	0.013	0.009	0.01
-0.827	6.75	0.0306	-0.0267	-0.1379	0.0423	0.0264	0.0588	0.007	0.003	0.005	0.009	0.005	0.007	0.014	0.009	0.01
-0.826	7	0.0306	-0.0227	-0.1339	0.0463	0.0264	0.0588	0.007	0.004	0.005	0.01	0.005	0.007	0.014	0.008	0.01
-0.825	7	0.0306	-0.0187	-0.1259	0.0502	0.0264	0.0588	0.007	0.004	0.004	0.009	0.005	0.007	0.013	0.008	0.01
-0.824	6.75	0.0306	-0.0148	-0.1259	0.0581	0.0304	0.0707	0.007	0.004	0.004	0.01	0.005	0.007	0.013	0.009	0.01
-0.823	6.75	0.0267	-0.0069	-0.1219	0.0542	0.0384	0.0747	0.007	0.002	0.005	0.009	0.005	0.007	0.013	0.008	0.009
-0.822	6.75	0.0267	-0.0108	-0.1179	0.0502	0.0384	0.0786	0.007	0.002	0.005	0.009	0.005	0.007	0.013	0.008	0.01
-0.821	7	0.0306	-0.0148	-0.1179	0.0384	0.0344	0.0747	0.006	0.003	0.005	0.009	0.004	0.006	0.013	0.008	0.01
-0.82	7	0.0227	-0.0187	-0.1299	0.0305	0.0384	0.0667	0.006	0.003	0.005	0.009	0.004	0.006	0.013	0.008	0.01
-0.819	6.75	0.0187	-0.0306	-0.1339	0.0266	0.0304	0.0667	0.007	0.003	0.005	0.008	0.005	0.007	0.014	0.008	0.009
