#data format: time(s), sliding length(m), velocity(m/s), acceleration(m/s2)
0	0	0	0
0.5	0.007142129	0.014284257	0.028568514
1	0.015582508	0.016880758	0.005193002
1.5	0.135301387	0.239437758	0.445114
2	0.184355337	0.0981079	-0.282659717
2.5	0.280336376	0.19196208	0.18770836
3	0.407154987	0.253637221	0.123350283
3.5	0.5514025	0.288495025	0.069715608
4	0.671714322	0.240623645	-0.095742761
4.5	0.813536464	0.283644285	0.08604128
5	0.877536617	0.128000306	-0.311287957
5.5	0.882802319	0.010531404	-0.234937805
6	0.886802342	0.008000045	-0.005062719
