#data format: time(s), sliding length(m), velocity(m/s), acceleration(m/s2)
0	0	0	0
0.5	0.004517743	0.009035486	0.018070971
1	0.032774423	0.056513361	0.094955751
1.5	0.081021807	0.096494767	0.079962811
2	0.137137402	0.11223119	0.031472847
2.5	0.245371823	0.216468843	0.208475306
3	0.379644531	0.268545415	0.104153144
3.5	0.462671758	0.166054454	-0.204981923
4	0.598998103	0.27265269	0.213196473
4.5	0.716948102	0.235899999	-0.073505383
5	0.777759474	0.121622744	-0.228554509
5.5	0.786892821	0.018266694	-0.206712101
6	0.789895994	0.006006345	-0.024520698
